Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,@https://spritz.cognizant.com/login.php,,
2,User ID :,"Click the [<Object>] ",Click,,,Cognizant
3,User ID :,Enter the value [<Data>] in the Field [<Object>],Set,@513379,,Cognizant
4,Password :,Enter the Decrypted value [<Data>] in the Field [<Object>],setEncrypted,@U2VwdEAzMDMw Enc,,Cognizant
5,Login,"Click the [<Object>] ",Click,,,Cognizant
6,×,"Click the [<Object>] ",Click,,,Cognizant
7,Downloads,"Click the [<Object>] ",Click,,,Cognizant
8,Browser,Scroll to bottom,scrollToBottom,,,
9,spritz1,"Click the [<Object>] ",Click,,,Cognizant
10,Browser,Wait for [<Data>] milli seconds,pause,@15000,,
11,Logout,"Click the [<Object>] ",Click,,,Cognizant
